,spacegroup,percent_atom_al,percent_atom_ga,percent_atom_in,lattice_vector_1_ang,lattice_vector_2_ang,lattice_vector_3_ang,lattice_angle_alpha_degree,lattice_angle_beta_degree,lattice_angle_gamma_degree,formation_energy_ev_natom,bandgap_energy_ev
2023,227,0.625,0.1875,0.1875,10.1029,5.8474,14.1998,88.93799999999999,88.7776,30.2488,0.3203,1.0121
233,33,0.75,0.0938,0.1562,10.0671,8.6325,9.2623,90.0044,90.0019,90.001,0.1778,2.9986
1723,33,0.0,0.875,0.125,5.1916,8.9053,9.5221,89.9969,90.0011,90.0013,0.0719,1.8653
2357,33,0.75,0.0625,0.1875,10.1018,8.6588,9.2888,90.0046,90.0018,90.001,0.1854,3.0964
830,227,0.625,0.0,0.375,10.2738,5.9507,14.6483,90.925,91.0723,30.3158,0.2877,1.4986
895,227,0.0,0.125,0.875,6.5058,6.5058,15.6882,89.9985,89.991,119.9911,0.3342,0.0267
1073,33,0.4688,0.3438,0.1875,10.2333,8.7709,9.3962,90.0019,90.0015,90.001,0.1591,2.4692
1037,33,0.2188,0.125,0.6562,10.8701,9.2639,9.8893,90.0011,89.9985,90.0003,0.2433,1.1671
1570,227,0.0625,0.625,0.3125,10.0348,5.8337,14.4476,91.4224,91.6531,30.6786,0.2074,1.1137
1300,227,0.5625,0.125,0.3125,10.2574,5.9086,14.5786,95.3414,94.7241,30.2455,0.2496,1.8788
2,227,0.8125,0.1875,0.0,9.751,5.6595,13.963,90.9688,91.1228,30.5185,0.1821,2.7438
650,33,0.9375,0.0312,0.0312,9.8408,8.4529,9.0847,90.0056,90.0023,90.0012,0.0884,4.2708
944,33,0.125,0.1875,0.6875,10.9486,9.3275,9.9516,90.0002,89.99799999999999,90.0002,0.2662,0.9903
919,33,0.4062,0.2188,0.375,10.4705,8.9531,9.5791,90.00200000000001,90.0005,90.0006,0.1948,1.9156
1018,194,0.9375,0.0625,0.0,6.0917,6.0913,23.3941,90.0081,90.0008,120.0062,0.2399,3.8599
1788,194,0.1875,0.4375,0.375,6.5994,6.5991,24.44,90.0069,90.0025,119.9914,0.3761,1.1251
132,12,0.25,0.5,0.25,12.2979,3.1189,6.082000000000001,89.9999,104.4479,90.0001,0.0969,1.8691
1315,227,0.75,0.25,0.0,5.7572,5.7565,13.7173,90.0142,90.0001,120.0034,0.1621,2.2888
458,227,0.375,0.25,0.375,10.38,6.0136,14.8105,91.0081,91.1703,30.3381,0.4102,0.2269
1271,206,0.0,0.0312,0.9688,10.2626,10.2626,10.2629,90.0005,90.0005,89.9992,0.0114,0.9324
2361,194,0.375,0.625,0.0,6.2619,6.2619,23.8166,90.0165,89.9999,119.9993,0.2614,2.4528
1612,206,0.2188,0.0625,0.7188,9.9493,9.9491,9.9494,90.0009,90.0012,89.9989,0.1798,1.2706
2093,167,0.6667,0.1667,0.1667,4.9811,4.9808,13.4799,89.99,90.0109,120.0014,0.1492,3.5875
1605,206,0.25,0.0,0.75,9.9639,9.9637,9.964,90.0006,90.001,89.9993,0.1748,1.3073
386,33,0.1562,0.3438,0.5,10.725999999999999,9.1577,9.7806,89.9999,89.9993,90.0003,0.2266,1.3208
29,206,0.8125,0.0312,0.1562,9.2018,9.2011,9.2015,90.00200000000001,90.00299999999999,89.9991,0.2106,3.3923
1255,167,0.3333,0.25,0.4167,5.1932,5.1928,13.9265,89.9954,90.0047,120.0011,0.1736,2.189
1638,12,0.0938,0.5625,0.3438,24.7335,6.3348,6.2101,90.0001,104.64299999999999,90.0001,0.1861,1.3933
1801,167,0.6667,0.0833,0.25,5.0243,5.024,13.5733,89.9901,90.0106,120.0015,0.1733,3.2378
417,12,0.2188,0.5,0.2812,24.62,6.2643,6.1204,90.0,104.5208,90.0001,0.091,1.8706
1519,206,0.0,0.4688,0.5312,9.8747,9.8747,9.8746,90.0029,90.0025,89.9962,0.1252,1.2575
892,227,0.5,0.1875,0.3125,9.8692,5.7321,14.1649,91.1614,91.3477,30.5865,0.3358,1.9669999999999999
1740,227,0.4375,0.1875,0.375,9.8929,5.7466,14.2053,91.1993,91.39200000000001,30.5998,0.2976,0.8995
828,167,0.0,0.75,0.25,5.1894,5.1888,13.9059,90.0005,89.9999,120.0001,0.136,1.8274
55,167,0.5,0.5,0.0,4.936,4.9356,13.3762,89.9923,90.0089,120.0009,0.0467,3.7759
1978,206,0.3438,0.375,0.2812,9.509,9.5087,9.5087,90.0031,90.0032,89.9967,0.2079,2.1632
1668,167,0.4167,0.1667,0.4167,5.1726,5.1722,13.8849,89.9941,90.006,120.0012,0.1854,2.3938
1107,227,0.125,0.125,0.75,10.8641,6.2979,15.5134,91.3227,91.5358,30.3965,0.2849,1.0045
1438,33,0.4688,0.4062,0.125,10.1639,8.7184,9.3432,90.0016,90.0017,90.0012,0.1419,2.5227
496,33,0.0,0.125,0.875,5.6075,9.5347,10.1584,89.9996,89.9963,90.0001,0.1355,0.8687
2120,33,0.8125,0.1875,0.0,4.9323,8.4765,9.1059,90.0044,90.0024,90.0015,0.0404,4.0305
538,227,0.6875,0.0,0.3125,10.2489,5.912999999999999,14.3852,93.2588,93.7297,29.9407,0.4572,1.6208
91,167,0.0,0.0833,0.9167,5.5351,5.5345,14.6534,89.9979,89.9993,120.0011,0.1023,0.9843
286,167,0.3333,0.5,0.1667,5.0636,5.0632,13.6462,89.9954,90.0055,120.0007,0.1935,2.559
775,167,0.4167,0.0833,0.5,5.2158,5.2154,13.9784,89.994,90.0058,120.0013,0.2565,2.1608
64,33,0.1875,0.8125,0.0,10.1568,8.7257,9.3445,89.9983,90.00200000000001,90.00200000000001,0.0614,2.4345
686,12,0.3125,0.2812,0.4062,24.4896,6.3075,6.2297,89.9999,104.8792,90.0001,0.1966,1.4785
1989,206,0.375,0.1875,0.4375,9.6344,9.6342,9.6343,90.0019,90.0023,89.99799999999999,0.2331,1.8261
2191,167,0.3333,0.6667,0.0,4.9772,4.9768,13.4593,89.9952,90.0061,120.0005,0.075,3.1998
663,206,0.5625,0.0,0.4375,9.5559,9.5554,9.5558,90.0012,90.00200000000001,89.9993,0.2721,2.2113
822,206,0.375,0.5312,0.0938,9.3297,9.3294,9.3292,90.0042,90.0042,89.9956,0.1513,2.6879
678,167,0.8333,0.0833,0.0833,4.8966,4.8964,13.3033,89.9868,90.0141,120.0017,0.0915,4.3482
609,206,0.4375,0.25,0.3125,9.4974,9.4971,9.4972,90.0025,90.0029,89.9976,0.2254,2.279
141,167,0.0833,0.25,0.6667,5.3847,5.3842,14.3315,89.9982,90.0005,120.0009,0.1496,1.3464
570,227,0.1875,0.5,0.3125,10.3967,6.0239,14.8421,91.0284,91.1952,30.3483,0.3496,0.1835
716,33,0.9375,0.0625,0.0,9.8062,8.4267,9.0582,90.0055,90.0024,90.0013,0.0507,4.5326
1499,206,0.75,0.25,0.0,9.0894,9.0888,9.089,90.0034,90.0041,89.9976,0.0948,4.0841
1041,33,0.5938,0.2188,0.1875,10.1748,8.7211,9.3485,90.0031,90.0016,90.001,0.1909,2.5371
2379,227,0.25,0.3125,0.4375,10.1024,5.956,14.8018,97.137,98.4229,31.9917,0.3876,1.0159
2039,227,0.375,0.625,0.0,10.0023,5.7923,14.2702,90.7517,90.8738,30.2984,0.1632,1.5607
401,167,0.9167,0.0,0.0833,4.876,4.8758,13.2618,89.9853,90.0155,120.0019,0.0871,4.5287
595,167,0.3333,0.6667,0.0,4.9772,4.9768,13.4593,89.9952,90.0061,120.0005,0.0782,3.1538
402,206,0.5,0.5,0.0,9.1942,9.1938,9.1937,90.0044,90.0045,89.9959,0.0936,3.4215
935,227,0.375,0.3125,0.3125,10.3073,5.9614,14.4098,83.8387,82.85799999999999,30.6779,0.3224,1.4148
673,33,0.0938,0.0312,0.875,11.1712,9.4973,10.1226,90.0005,89.9966,90.0003,0.1936,0.904
1435,12,0.75,0.25,0.0,12.0711,2.9779,5.7236,89.9992,103.9258,90.0002,0.0229,3.5488
1512,206,0.5312,0.2812,0.1875,9.3473,9.3469,9.347000000000001,90.0029,90.0034,89.9974,0.1982,2.6469
584,12,0.375,0.625,0.0,12.2659,3.0312,5.8004,89.9997,103.7911,90.0002,0.0441,2.6983
70,227,0.5,0.375,0.125,10.0751,5.8346,14.3692,90.796,90.9241,30.3005,0.2728,2.5418
1332,12,0.375,0.2188,0.4062,24.4246,6.2898,6.2170000000000005,89.9998,104.9005,90.0001,0.1576,1.8893
1192,227,0.5,0.5,0.0,9.9492,5.7608,14.1892,90.7074,90.8216,30.2868,0.1741,1.8326
939,33,0.75,0.0,0.25,10.1711,8.7112,9.3419,90.0048,90.0016,90.0008,0.1736,2.9473
325,33,0.9375,0.0,0.0625,9.8755,8.4791,9.1113,90.0058,90.0023,90.0011,0.1078,3.7828
1404,206,0.5625,0.2812,0.1562,9.3065,9.3061,9.3062,90.00299999999999,90.0035,89.9974,0.1944,2.8963
232,206,0.4375,0.5625,0.0,9.2204,9.22,9.2199,90.0047,90.0046,89.9954,0.1098,3.1215
213,227,0.1875,0.5,0.3125,10.3967,6.0239,14.8421,91.0284,91.1952,30.3483,0.2933,1.2221
1163,206,0.625,0.0,0.375,9.4743,9.4738,9.4741,90.0013,90.0022,89.9993,0.2629,2.4312
2337,12,0.125,0.875,0.0,12.3959,3.0668,5.8516,90.0,103.7028,90.0001,0.0049,2.1917
2132,167,0.25,0.4167,0.3333,5.1706,5.1702,13.8746,89.9967,90.0036,120.0008,0.1594,2.0645
1033,227,0.5625,0.125,0.3125,10.2374,5.9295,14.5988,90.9038,91.0482,30.3148,0.4034,1.6807
573,167,0.6667,0.0833,0.25,5.0243,5.024,13.5733,89.9901,90.0106,120.0015,0.1684,3.2689
2231,194,0.7812,0.1875,0.0312,6.1603,6.16,23.5515,90.0143,90.001,120.0037,0.2814,2.2736
720,33,0.5312,0.0312,0.4375,10.4814,8.9557,9.5844,90.0034,90.0005,90.0006,0.2816,1.903
769,12,0.0,0.6875,0.3125,24.8392,6.343999999999999,6.1971,90.0002,104.529,90.0001,0.0134,1.5188
1395,33,0.0,0.625,0.375,5.3302,9.1151,9.7342,89.9979,89.9997,90.0004,0.1234,1.4291
1155,33,0.5625,0.0,0.4375,5.2334,8.9433,9.5725,90.0037,90.0005,90.0006,0.2628,1.9003
1972,12,0.4062,0.375,0.2188,24.4417,6.1759,6.0181,89.9997,104.4178,90.0001,0.0893,2.1901
1544,167,0.625,0.0417,0.3333,10.1555,5.0775,13.6876,89.9909,90.0096,120.0016,0.2473,2.7655
1558,194,0.0,0.5938,0.4062,6.6845,6.6842,24.6215,89.9965,89.9997,119.98899999999999,0.063,1.3756
510,12,0.4062,0.3125,0.2812,24.4252,6.2109,6.0822,89.9997,104.5856,90.0001,0.1171,2.1162
913,227,0.875,0.125,0.0,9.7274,5.645,13.9226,90.9296,91.0771,30.5047,0.2586,2.1454
724,227,0.625,0.0625,0.3125,5.9814,5.9811,14.5814,90.0278,89.988,120.0008,0.3326,1.3726
1040,12,0.5,0.2188,0.2812,24.3277,6.1843,6.0631,89.9996,104.6182,90.0002,0.1451,2.3434
2352,33,0.9375,0.0312,0.0312,9.8408,8.4529,9.0847,90.0056,90.0023,90.0012,0.0672,4.373
1886,206,0.0,0.4688,0.5312,9.8747,9.8747,9.8746,90.0029,90.0025,89.9962,0.1258,1.2399
2111,194,0.5312,0.0312,0.4375,6.537000000000001,6.5365,24.2617,90.0158,90.0126,119.9941,0.4006,1.1681
2080,206,0.4375,0.2188,0.3438,9.5251,9.5248,9.5249,90.0023,90.0027,89.9978,0.2407,2.1069
1754,167,0.0833,0.0833,0.8333,5.4712,5.4707,14.5184,89.9974,90.0005,120.0012,0.1489,1.2047
2259,12,0.0312,0.7812,0.1875,24.8397,6.2651,6.0626,90.0001,104.2024,90.0001,0.0885,1.6474
889,12,0.0625,0.6875,0.25,24.7907,6.2912,6.1203,90.0001,104.3834,90.0001,0.0404,1.579
792,12,0.4062,0.1875,0.4062,24.3922,6.2809,6.2106,89.9998,104.9112,90.0001,0.1533,1.5863
1400,227,0.9375,0.0625,0.0,5.686,5.6858,13.9123,90.0016,90.0001,119.9973,0.1699,3.4684
30,194,0.3438,0.3125,0.3438,6.5261,6.5257,24.2821,90.0123,90.0054,119.9935,0.3269,1.546
1641,206,0.0625,0.0,0.9375,10.2087,10.2087,10.209,90.0004,90.0005,89.9994,0.054000000000000006,0.9538
796,167,0.5,0.5,0.0,4.936,4.9356,13.3762,89.9923,90.0089,120.0009,0.0681,3.6805
1199,33,0.25,0.1875,0.5625,5.3757,9.1728,9.7978,90.0011,89.9991,90.0003,0.2399,1.2998
215,206,0.3438,0.4688,0.1875,9.4259,9.4256,9.4255,90.0037,90.0037,89.9961,0.1818,2.3949
872,33,0.4062,0.2812,0.3125,10.4011,8.9007,9.5261,90.0017,90.0008,90.0007,0.2326,1.9837
1363,12,0.4375,0.3125,0.25,24.4009,6.1845,6.0437,89.9997,104.51299999999999,90.0001,0.1338,2.1669
1108,194,0.4375,0.5625,0.0,6.2421,6.2421,23.7696,90.0178,89.9991,120.0001,0.2239,2.6202
384,206,0.0,0.4688,0.5312,9.8747,9.8747,9.8746,90.0029,90.0025,89.9962,0.1404,1.1931
175,167,0.6667,0.3333,0.0,4.8947,4.8944,13.293,89.9894,90.0117,120.0012,0.0428,4.2811
1116,33,0.0625,0.25,0.6875,5.4889,9.3524,9.9755,89.9996,89.9978,90.0001,0.2476,0.9809
1016,206,0.5625,0.4375,0.0,9.168,9.1675,9.1675,90.0042,90.0044,89.9963,0.1035,3.4898
2211,33,0.4375,0.5625,0.0,5.02,8.626,9.2491,90.0008,90.0022,90.0018,0.0558,2.9649
1515,206,0.0,0.9375,0.0625,9.4591,9.4591,9.4586,90.0059,90.005,89.9929,0.0968,2.0388
2369,227,0.0625,0.3125,0.625,10.7756,6.2196,14.8766,84.3355,83.4255,30.9387,0.2683,0.7305
315,227,0.4375,0.25,0.3125,6.0328,6.0326,14.6936,90.0209,89.9949,119.99799999999999,0.3291,1.56
1405,12,0.125,0.2188,0.6562,24.6185,6.5008,6.525,90.0002,105.4321,90.0,0.23199999999999998,1.0015
860,33,0.6875,0.125,0.1875,10.131,8.6837,9.3127,90.00399999999999,90.0017,90.001,0.1992,2.7911
1987,167,0.3333,0.6667,0.0,9.9545,4.9768,13.4593,89.9952,90.0061,120.0005,0.0709,3.1804
1121,227,0.5,0.1875,0.3125,10.264000000000001,5.9453,14.6393,90.9248,91.0731,30.3205,0.3726,0.9470000000000001
2244,33,0.3438,0.5,0.1562,10.2571,8.7945,9.4174,90.0005,90.0015,90.0012,0.1023,2.3509
1718,12,0.375,0.3438,0.2812,24.4576,6.2198,6.0886,89.9998,104.5748,90.0001,0.1583,1.9692
752,206,0.5312,0.2812,0.1875,9.3473,9.3469,9.347000000000001,90.0029,90.0034,89.9974,0.2004,2.7467
149,206,0.0,0.2812,0.7188,10.041,10.041,10.041,90.0018,90.0016,89.9975,0.0977,1.0297
1664,33,0.4375,0.5625,0.0,5.02,8.626,9.2491,90.0008,90.0022,90.0018,0.04,2.9939999999999998
31,227,0.0,0.25,0.75,10.4296,6.1786,15.1318,96.7363,97.9868,32.4294,0.2721,0.4095
26,227,0.4375,0.25,0.3125,6.0436,6.0427,14.2577,90.0159,90.0033,120.0023,0.3518,0.976
1092,194,0.3438,0.5938,0.0625,6.3181,6.3181,23.9205,90.0141,90.0017,119.9978,0.2034,2.3692
332,194,0.3125,0.625,0.0625,6.3282,6.3281,23.944000000000003,90.0131,90.00200000000001,119.9974,0.2406,1.3780000000000001
1598,167,0.5833,0.0,0.4167,5.1313,5.131,13.8018,89.9916,90.0086,120.0016,0.1895,2.6632
2014,194,0.4375,0.2812,0.2812,6.4502,6.4499,24.1312,90.014,90.0065,119.9954,0.1492,2.1971
210,194,0.625,0.2188,0.1562,6.2998,6.2995,23.8295,90.0152,90.0059,119.9995,0.3169,1.9064
690,33,0.6875,0.3125,0.0,9.923,8.5264,9.1536,90.0032,90.0023,90.0016,0.07,3.6328
1689,227,0.5,0.4375,0.0625,10.1177,5.8283,14.2074,91.3094,91.4994,29.776999999999997,0.2199,1.4614
952,194,0.375,0.3438,0.2812,6.4699,6.4696,24.1782,90.0128,90.0053,119.9947,0.3779,1.3090000000000002
2088,12,0.0,0.25,0.75,12.3619,3.2944,6.6469,90.0003,105.6108,90.0,0.2562,0.8270000000000001
780,194,0.9688,0.0312,0.0,6.0828,6.0824,23.3707,90.0062,90.0015,120.0065,0.2093,3.9988
929,12,0.375,0.125,0.5,12.1999,3.1711,6.3134,89.9998,105.1365,90.0001,0.2269,1.574
488,227,0.3125,0.625,0.0625,10.1235,5.8607,14.1734,90.1617,90.1902,30.2696,0.2651,2.0286
170,194,0.625,0.2188,0.1562,6.2998,6.2995,23.8295,90.0152,90.0059,119.9995,0.4439,1.6062
471,206,0.5938,0.0,0.4062,9.5151,9.5146,9.5149,90.0012,90.0021,89.9993,0.2641,2.2842
537,12,0.75,0.25,0.0,12.0711,2.9779,5.7236,89.9992,103.9258,90.0002,0.0371,3.5374
701,206,0.75,0.25,0.0,9.0894,9.0888,9.089,90.0034,90.0041,89.9976,0.09300000000000001,4.086
1706,206,0.5625,0.4375,0.0,9.168,9.1675,9.1675,90.0042,90.0044,89.9963,0.1052,3.4758
82,194,0.2188,0.3438,0.4375,6.6354,6.6351,24.4969,90.0091,90.0025,119.991,0.28,0.9661
1722,227,0.875,0.0,0.125,9.9158,5.7402,14.1261,90.6631,90.7674,30.2654,0.2772,2.1178
138,12,0.4688,0.3125,0.2188,24.3767,6.1582,6.0053,89.9996,104.4396,90.0002,0.1206,2.3364
1811,167,0.5833,0.25,0.1667,5.0017,5.0014,13.5215,89.9914,90.0095,120.0013,0.1635,3.3411
2142,33,0.1875,0.0,0.8125,5.529,9.4075,10.0338,90.0013,89.9973,90.0004,0.2648,1.031
1170,12,0.4688,0.2812,0.25,24.3685,6.1757,6.0374,89.9997,104.5239,90.0001,0.1428,2.2304
802,33,0.0312,0.125,0.8438,11.1657,9.496,10.12,89.9998,89.9966,90.0001,0.2024,0.8103
2344,167,0.5833,0.4167,0.0,4.9153,4.915,13.3346,89.9909,90.0103,120.0011,0.0592,3.8465
268,12,0.4688,0.25,0.2812,24.3602,6.1931,6.0694,89.9997,104.6073,90.0001,0.1783,2.044
1087,167,0.3333,0.6667,0.0,4.9772,4.9768,13.4593,89.9952,90.0061,120.0005,0.0705,3.2342
359,227,0.125,0.5625,0.3125,10.4233,6.0396,14.8827,91.0488,91.2192,30.3538,0.2698,0.8871
1665,33,0.125,0.0,0.875,5.5783,9.4849,10.1107,90.0008,89.9967,90.0004,0.2441,0.922
1492,194,0.25,0.3438,0.4062,6.6022,6.6019,24.4331,90.0099,90.0034,119.9917,0.2634,1.1712
121,206,0.5938,0.0,0.4062,9.5151,9.5146,9.5149,90.0012,90.0021,89.9993,0.2558,2.2377
2383,206,0.4688,0.3438,0.1875,9.3735,9.3731,9.3732,90.0032,90.0035,89.9969,0.1955,2.6513
1734,194,0.0,0.75,0.25,6.5694,6.5693,24.4204,89.9948,90.0039,119.9908,0.1109,1.5573
2338,227,0.375,0.3125,0.3125,9.9165,5.7611,14.2456,91.23700000000001,91.4361,30.6131,0.3776,1.0588
1135,33,0.0,0.4375,0.5625,10.8684,9.2724,9.8933,89.9986,89.9985,90.0001,0.0899,1.2023
105,33,0.5,0.5,0.0,5.0054,8.6011,9.2252,90.0014,90.0022,90.0018,0.0254,3.1446
328,206,0.2812,0.3125,0.4062,9.646,9.6458,9.6458,90.0025,90.0026,89.9972,0.2021,1.8546
1880,227,0.5,0.25,0.25,10.2157,5.9135,14.3717,88.4381,88.2003,30.2631,0.3073,2.0187
302,12,0.0,0.6875,0.3125,24.8392,6.343999999999999,6.1971,90.0002,104.529,90.0001,0.021,1.4941
878,194,0.0,0.375,0.625,6.8456,6.8451,24.9031,90.0023,89.9926,119.9868,0.0665,1.0269
2225,12,0.0,0.75,0.25,24.8557,6.309,6.1331,90.0002,104.36200000000001,90.0001,0.023,1.5788
1910,206,0.4375,0.1875,0.375,9.5528,9.5525,9.5527,90.0021,90.0025,89.99799999999999,0.2392,1.9526
1714,194,0.3125,0.6875,0.0,6.282,6.282,23.8637,90.0145,90.0009,119.9984,0.2761,2.3553
1075,227,0.3125,0.125,0.5625,10.5562,6.1041,14.6735,84.524,83.6273,31.0338,0.3345,0.9742
449,33,0.0938,0.6562,0.25,10.4779,8.9728,9.5924,89.9984,90.0006,90.0008,0.1495,1.6717
217,33,0.0625,0.8125,0.125,10.3539,8.8804,9.4982,89.9975,90.0012,90.0013,0.0905,1.9307
2275,194,0.875,0.0,0.125,6.2026,6.2022,23.6016,90.0083,90.0099,120.0028,0.3428,3.116
2069,33,0.6875,0.0,0.3125,5.1348,8.7886,9.4187,90.0045,90.0013,90.0008,0.2245,2.2478
300,227,0.75,0.125,0.125,9.9901,5.7813,14.0288,89.4503,89.3687,30.234,0.3942,1.7944
1011,227,0.4375,0.25,0.3125,10.2905,5.961,14.6799,90.9458,91.0978,30.3261,0.3523,1.4619
2146,167,0.25,0.75,0.0,4.9979,4.9974,13.5009,89.9966,90.0048,120.0003,0.0737,2.9979
2175,33,0.5312,0.0938,0.375,10.412,8.9033,9.5314,90.0032,90.0008,90.0007,0.2441,2.1302
1791,12,0.4375,0.2812,0.2812,24.3927,6.202000000000001,6.0758,89.9997,104.5965,90.0001,0.1201,1.9132
1455,227,0.0625,0.625,0.3125,10.4498,6.0554,14.9233,91.069,91.2431,30.3593,0.3048,0.6708
1413,167,0.5833,0.4167,0.0,4.9153,4.915,13.3346,89.9909,90.0103,120.0011,0.0677,3.8474
1579,206,0.4062,0.25,0.3438,9.5382,9.5379,9.538,90.0024,90.0027,89.9976,0.2282,2.0526
758,33,0.1562,0.5312,0.3125,10.517999999999999,9.0004,9.6215,89.9993,90.0004,90.0006,0.1956,1.6087
363,33,0.1875,0.8125,0.0,5.0784,8.7257,9.3445,89.9983,90.00200000000001,90.00200000000001,0.0509,2.4474
619,227,0.5,0.1875,0.3125,6.0277,6.0259,14.737,90.0623,88.116,120.0356,0.3182,1.8563
2103,167,0.5833,0.0833,0.3333,5.0881,5.0878,13.7084,89.9916,90.0089,120.0015,0.2554,2.5427
1151,167,0.5833,0.4167,0.0,9.8307,4.915,13.3346,89.9909,90.0103,120.0011,0.0581,3.872
519,33,0.5,0.4375,0.0625,10.08,8.6535,9.2782,90.0017,90.00200000000001,90.0015,0.1134,2.7543
1078,33,0.625,0.1875,0.1875,10.1602,8.7086,9.3366,90.0034,90.0017,90.001,0.2,2.5963
813,12,0.25,0.75,0.0,12.3309,3.049,5.8260000000000005,89.9998,103.7468,90.0001,0.0261,2.3654
917,12,0.0625,0.8125,0.125,24.8237,6.2212,5.9923,90.0001,104.0394,90.0001,0.0838,1.7613
1226,227,0.5625,0.125,0.3125,9.8958,5.8174,14.5954,98.3259,99.8004,31.7301,0.4362,2.0223
1465,33,0.1875,0.3438,0.4688,10.6767,9.119,9.7422,90.0001,89.9995,90.0003,0.2336,1.2793
2170,227,0.375,0.1875,0.4375,6.126,6.1231,14.9952,90.0501,87.4271,120.024,0.3949,1.1384
1055,206,0.125,0.1562,0.7188,9.9886,9.9885,9.9886,90.0013,90.0014,89.9983,0.1347,1.1896
414,194,0.25,0.75,0.0,6.3023,6.3023,23.9107,90.012,90.0021,119.9976,0.1422,2.4021
603,12,0.3438,0.25,0.4062,24.4571,6.2987,6.2233,89.9998,104.8899,90.0001,0.1691,1.6896
2034,12,0.25,0.625,0.125,12.3144,3.0839999999999996,5.9539,89.9999,104.1046,90.0001,0.0698,2.3056
1529,206,0.5312,0.0938,0.375,9.5136,9.5131,9.5134,90.0017,90.0024,89.9986,0.2614,2.096
189,227,0.5625,0.125,0.3125,6.002000000000001,6.0012,14.3698,90.0068,89.9959,119.9994,0.3761,1.2417
890,33,0.875,0.0,0.125,4.987,8.5565,9.1881,90.0055,90.0021,90.001,0.1668,3.4881
1687,206,0.0,0.4375,0.5625,9.9024,9.9024,9.9023,90.0027,90.0023,89.9964,0.1202,1.2184
1148,167,0.1667,0.4167,0.4167,5.2345,5.234,14.0096,89.9978,90.0022,120.0007,0.1527,1.8737
447,33,0.5,0.2812,0.2188,10.2533,8.7846,9.4108,90.0023,90.0014,90.0009,0.2026,2.3173
1503,12,0.5,0.5,0.0,12.200999999999999,3.0134,5.7748,89.9995,103.8357,90.0002,0.0521,2.8933
1962,206,0.0,0.0625,0.9375,10.2349,10.2349,10.2352,90.0007,90.0006,89.999,0.0219,0.9466
174,206,0.0938,0.0625,0.8438,10.1125,10.1124,10.1127,90.0008,90.0009,89.9989,0.0982,0.9743
1786,227,0.6875,0.0,0.3125,5.9433,5.9434,14.6025,90.0001,89.9967,120.0005,0.3996,1.6712
247,167,0.3333,0.6667,0.0,4.9772,4.9768,13.4593,89.9952,90.0061,120.0005,0.0647,3.2502
2051,12,0.125,0.5,0.375,24.6928,6.3434,6.2358,90.0001,104.735,90.0001,0.1137,1.4124
1256,227,0.5625,0.4375,0.0,9.9227,5.7451,14.1486,90.6851,90.7953,30.2809,0.2402,1.3953
1882,12,0.0,0.7812,0.2188,24.8639,6.2915,6.101,90.0002,104.2773,90.0001,0.0162,1.6187
1091,206,0.5625,0.2188,0.2188,9.3619,9.3615,9.3616,90.0026,90.0031,89.9978,0.212,2.7143
1239,12,0.3125,0.4375,0.25,24.5308,6.2201,6.0692,89.9998,104.4695,90.0001,0.1282,1.8055
1160,167,0.3333,0.4167,0.25,5.1068,5.1064,13.7396,89.9955,90.0052,120.0008,0.1622,2.4495
1607,194,0.1875,0.375,0.4375,6.6456,6.6452,24.5204,90.0078,90.0018,119.9906,0.2927,0.9887
1103,206,0.8125,0.0312,0.1562,9.2018,9.2011,9.2015,90.00200000000001,90.00299999999999,89.9991,0.2072,3.4981
1669,227,0.1875,0.6875,0.125,10.2972,5.898,14.6784,96.3492,95.2233,30.1346,0.1617,1.7828
1702,33,0.8438,0.0625,0.0938,9.954,8.5427,9.1735,90.0051,90.0022,90.0011,0.1278,3.522
907,167,0.4167,0.5833,0.0,4.9566,4.9562,13.4178,89.9938,90.0075,120.0007,0.0697,3.3943
2320,227,0.5,0.1875,0.3125,6.0265,6.0258,14.2248,90.0153,90.0031,120.0022,0.35700000000000004,1.2984
2232,167,0.8333,0.0,0.1667,9.8796,4.9396,13.3968,89.9871,90.0137,120.0018,0.1434,3.8698
1520,206,0.9062,0.0,0.0938,9.1071,9.1063,9.1067,90.0021,90.0032,89.9994,0.1666,4.0219
631,167,0.25,0.1667,0.5833,5.3002,5.2998,14.155,89.9962,90.0031,120.0011,0.1912,1.7771
1093,194,0.3125,0.375,0.3125,6.5129,6.5126,24.2654,90.0112,90.0046,119.9936,0.3315,1.1909
1809,167,0.5,0.5,0.0,4.936,4.9356,13.3762,89.9923,90.0089,120.0009,0.0592,3.7727
1428,167,0.4167,0.5833,0.0,4.9566,4.9562,13.4178,89.9938,90.0075,120.0007,0.0772,3.3824
946,227,0.6875,0.1875,0.125,9.7983,5.6886,14.0437,91.0465,91.2135,30.5459,0.2522,1.9125
1711,206,0.1875,0.2188,0.5938,9.8515,9.8514,9.8515,90.0018,90.0019,89.9978,0.1718,1.2929
1678,206,0.0,0.1875,0.8125,10.1241,10.1241,10.1242,90.0013,90.0012,89.9981,0.0628,1.0008
2110,194,0.4375,0.3125,0.25,6.4271,6.4268,24.090999999999998,90.014,90.0058,119.9959,0.2871,1.3068
2198,206,0.3438,0.3438,0.3125,9.5367,9.5364,9.5365,90.0029,90.00299999999999,89.9969,0.2227,2.0736
1478,33,0.375,0.5312,0.0938,10.1731,8.7296,9.3524,90.0006,90.0018,90.0014,0.1034,2.5738
